HIOS_ISSUER_ID,ISSR_LGL_NAME,MarketingName,State,IndividualMarket,SmallGroupMarket,UnknownMarket,LargeMarket,FEDERAL_EIN,Active,DateCreated,LastModifiedDate,DatabaseCompanyID,ORG_ADR1,ORG_ADR2,ORG_CITY,ORG_STATE,ORG_ZIP,ORG_ZIP4
66895,Union Security Insurance Company,Assurant Health,MS,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
73742,Union Security Insurance Company,Assurant Health,NC,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
86699,Union Security Insurance Company,Assurant Health,ND,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
30537,Union Security Insurance Company,Assurant Health,NE,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
20920,Union Security Insurance Company,Assurant Health,OH,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
48599,Union Security Insurance Company,Assurant Health,OK,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
32872,Union Security Insurance Company,Assurant Health,PA,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
66152,Union Security Insurance Company,Assurant Health,SC,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
81875,Union Security Insurance Company,Assurant Health,TN,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
10055,Union Security Insurance Company,Assurant Health,TX,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
98918,Union Security Insurance Company,Assurant Health,VA,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
54015,Union Security Insurance Company,Assurant Health,WA,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
47726,Union Security Insurance Company,Assurant Health,WI,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
15012,Union Security Insurance Company,Assurant Health,WV,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
50576,Guarantee Trust Life Insurance Company,,VA,YES,YES,NO,NO,361174500,YES,6/16/10,,166,1275 Milwaukee Avenue,,Glenview,IL,60025,
47579,Chinese Community Health Plan,,CA,YES,YES,NO,NO,943021419,YES,5/26/10,9/11/13,98,"445 Grant Avenue, 700",,San Francisco,CA,94108,
96601,"Coventry Health Care of Illinois, Inc.",Coventry Health Care,IL,YES,YES,NO,NO,371241037,YES,6/18/10,11/6/13,126,2110 Fox Drive,Suite A,Champaign,IL,61820,
96601,"Coventry Health Care of Illinois, Inc.",Coventry Health Care,IL,YES,YES,NO,NO,371241037,YES,6/18/10,11/6/13,126,P.O. Box 864750,,Orlando,FL,32886,4750
77822,Knights of Columbus,,AZ,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
71575,Knights of Columbus,,CO,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
20617,Knights of Columbus,,IL,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
91209,Knights of Columbus,,IN,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
77628,Knights of Columbus,,KS,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
45391,Knights of Columbus,,LA,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
65157,Knights of Columbus,,ME,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
21979,Knights of Columbus,,OK,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
59824,Knights of Columbus,,PA,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
34031,Knights of Columbus,,SD,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
89764,Knights of Columbus,,TX,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
46341,Knights of Columbus,,WA,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
30475,Knights of Columbus,,WY,YES,NO,NO,NO,60416470,YES,6/16/10,,241,Mutual of Omaha Plaza,,Omaha,NE,68175,
27651,"Gundersen Health Plan, Inc.","Gundersen Health Plan, Inc.",IA,YES,YES,NO,NO,391807071,YES,5/24/10,4/2/13,167,1836 South Avenue,Mail stop NCA2-01,La Crosse,WI,54601,
27651,"Gundersen Health Plan, Inc.","Gundersen Health Plan, Inc.",IA,YES,YES,NO,NO,391807071,YES,5/24/10,4/2/13,167,1836 South Avenue,Mail stop NCA2-01,La Crosse,WI,54601,0
91058,"Gundersen Health Plan, Inc.","Gundersen Health Plan, Inc.",WI,YES,YES,NO,NO,391807071,YES,5/24/10,4/2/13,167,1836 South Avenue,Mail stop NCA2-01,La Crosse,WI,54601,
91058,"Gundersen Health Plan, Inc.","Gundersen Health Plan, Inc.",WI,YES,YES,NO,NO,391807071,YES,5/24/10,4/2/13,167,1836 South Avenue,Mail stop NCA2-01,La Crosse,WI,54601,0
60829,Physicians Health Plan,,MI,YES,YES,NO,NO,382356288,YES,5/26/10,5/29/13,307,1400 E. Michigan Ave,,Lansing,MI,48912,
60829,Physicians Health Plan,,MI,YES,YES,NO,NO,382356288,YES,5/26/10,5/29/13,307,1400 E Michigan Ave,,Lansing,MI,48912,2107
52670,All Savers Insurance Company,All Savers Insurance Company,MI,NO,YES,NO,NO,351665915,YES,6/14/10,9/27/13,12,7440 Woodland Drive,,Indianapolis,IN,46278,
78726,All Savers Insurance Company,All Savers Insurance Company,OH,YES,YES,NO,NO,351665915,YES,6/14/10,9/27/13,12,7440 Woodland Drive,,Indianapolis,IN,46278,
78726,All Savers Insurance Company,All Savers Insurance Company,OH,YES,YES,NO,NO,351665915,YES,6/14/10,9/27/13,12,P.O. Box 713819,,Cincinnati,OH,45271,3082
39924,All Savers Insurance Company,UnitedHealthcare,WI,YES,YES,NO,NO,351665915,YES,6/14/10,9/27/13,12,7440 Woodland Drive,,Indianapolis,IN,46278,
39924,All Savers Insurance Company,UnitedHealthcare,WI,YES,YES,NO,NO,351665915,YES,6/14/10,9/27/13,12,P.O. Box 713819,,Cincinnati,OH,45271,3082
81593,American Medical Security Life Ins Co,,AK,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
53135,UnitedHealthcare Life Insurance Company,,AR,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
90169,UnitedHealthcare Life Insurance Company,,AZ,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
24766,American Medical Security Life Ins Co,,CA,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
92291,UnitedHealthcare Life Insurance Company,,CO,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
85732,UnitedHealthcare Life Insurance Company,,CT,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
36921,UnitedHealthcare Life Insurance Company,,DC,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
48292,UnitedHealthcare Life Insurance Company,,DE,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
17341,UnitedHealthcare Life Insurance Company,,FL,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
54459,American Medical Security Life Ins Co,,HI,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
81839,UnitedHealthcare Life Insurance Company,,IA,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
33228,American Medical Security Life Ins Co,,ID,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
66303,UnitedHealthcare Life Insurance Company,,IL,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
43070,UnitedHealthcare Life Insurance Company,,IN,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
41446,UnitedHealthcare Life Insurance Company,American Medical Security Life Ins CO,KS,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
56744,UnitedHealthcare Life Insurance Company,,KY,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
66593,UnitedHealthcare Life Insurance Company,,LA,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
58191,American Medical Security Life Ins Co,,MA,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
41308,UnitedHealthcare Life Insurance Company,,MD,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
51218,American Medical Security Life Ins Co,,ME,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
45002,UnitedHealthcare Life Insurance Company,UnitedHealthcare,MI,YES,YES,NO,NO,860207231,YES,5/26/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
37715,American Medical Security Life Ins Co,,MN,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
14162,UnitedHealthcare Life Insurance Company,,MO,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
61794,UnitedHealthcare Life Insurance Company,UnitedHealthcare Life Insurance Company,MS,YES,YES,NO,NO,860207231,YES,5/26/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
61794,UnitedHealthcare Life Insurance Company,UnitedHealthcare Life Insurance Company,MS,YES,YES,NO,NO,860207231,YES,5/26/10,8/29/13,20,P.O. Box 713819,,Cincinnati,OH,45271,
43384,American Medical Security Life Ins Co,,MT,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
42754,UnitedHealthcare Life Insurance Company,,NC,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
42370,UnitedHealthcare Life Insurance Company,,ND,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
68389,UnitedHealthcare Life Insurance Company,,NE,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
65659,American Medical Security Life Ins Co,,NJ,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
38908,UnitedHealthcare Life Insurance Company,,NM,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
63145,UnitedHealthcare Life Insurance Company,,NV,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
70575,United Healthcare Life Insurance Company,,NY,YES,NO,NO,NO,860207231,YES,6/14/10,7/22/15,20,3100 AMS Blvd,,Green Bay,WI,54313,
61724,UnitedHealthcare Life Insurance Company,,OH,YES,YES,NO,NO,860207231,YES,6/14/10,9/27/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
75091,"ConnectiCare, Inc.",,CT,YES,YES,NO,NO,61537522,YES,5/26/10,11/7/13,118,175 Scott Swamp Road,,Farmington,CT,6034,4050
98704,UnitedHealthcare Life Insurance Company,,OK,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
96274,American Medical Security Life Ins Co,,OR,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
45404,UnitedHealthcare Life Insurance Company,,PA,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
39481,UnitedHealthcare Life Insurance Company,,SC,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
39481,UnitedHealthcare Life Insurance Company,,SC,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,,,,,,
67288,UnitedHealthcare Life Insurance Company,,SD,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
48069,UnitedHealthcare Life Insurance Company,,TN,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
70619,UnitedHealthcare Life Insurance Company,,TX,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
25573,American Medical Security Life Ins Co,,VA,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
23962,American Medical Security Life Ins Co,,VT,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
88950,"ConnectiCare of Massachusetts, Inc.","ConnectiCare of Massachusetts, Inc.",MA,YES,YES,NO,NO,61576788,YES,5/26/10,5/29/14,532,175 Scott Swamp Road,,Farmington,CT,6034,4050
82489,"ConnectiCare, Inc. & Affiliates",,NY,YES,YES,NO,NO,61537522,NO,6/17/10,,118,175 Scott Swamp Road,,Farmington,CT,6034,4050
39850,American Medical Security Life Ins Co,,WA,YES,NO,NO,NO,860207231,NO,6/14/10,,20,3100 AMS Blvd,,Green Bay,WI,54313,
89106,UnitedHealthcare Life Insurance Company,,WI,YES,NO,NO,NO,860207231,YES,6/14/10,9/24/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
42066,UnitedHealthcare Life Insurance Company,,WV,YES,NO,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
59809,UnitedHealthcare Life Insurance Company,,AL,YES,YES,NO,NO,860207231,YES,5/26/10,9/27/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
74189,UnitedHealthcare Life Insurance Company,,GA,YES,YES,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
43129,UnitedHealthcare Life Insurance Company,American Medical Security Life Ins Co,UT,YES,YES,NO,NO,860207231,YES,6/14/10,8/29/13,20,3100 AMS Blvd,,Green Bay,WI,54313,
50357,Golden Rule Insurance Company,UnitedHealthOne,AK,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
74575,Golden Rule Insurance Company,UnitedHealthOne,AL,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
62722,Golden Rule Insurance Company,UnitedHealthOne,AR,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
72269,Golden Rule Insurance Company,UnitedHealthOne,AZ,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
61956,Golden Rule Insurance Company,,CA,YES,NO,NO,NO,376028756,YES,6/14/10,,157,7440 Woodland Drive,,Indianapolis,IN,46278,
41341,Golden Rule Insurance Company,UnitedHealthOne,CO,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
40591,Golden Rule Insurance Company,UnitedHealthOne,CT,YES,NO,NO,NO,376028756,YES,7/6/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
59557,Golden Rule Insurance Company,UnitedHealthOne,DC,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
89587,Golden Rule Insurance Company,UnitedHealthOne,DE,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
99804,Golden Rule Insurance Company,UnitedHealthOne,FL,YES,NO,NO,NO,376028756,YES,7/6/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
72323,Golden Rule Insurance Company,UnitedHealthOne,GA,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
39261,Golden Rule Insurance Company,,HI,YES,NO,NO,NO,376028756,YES,6/14/10,,157,7440 Woodland Drive,,Indianapolis,IN,46278,
32608,Golden Rule Insurance Company,UnitedHealthOne,IA,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
91563,Golden Rule Insurance Company,,ID,YES,NO,NO,NO,376028756,YES,6/14/10,,157,7440 Woodland Drive,,Indianapolis,IN,46278,
33798,Golden Rule Insurance Company,UnitedHealthOne,IL,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
73490,Golden Rule Insurance Company,UnitedHealthOne,IN,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
78558,Golden Rule Insurance Company,UnitedHealthOne,KS,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
47949,Golden Rule Insurance Company,UnitedHealthOne,KY,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
59176,Golden Rule Insurance Company,UnitedHealthOne,LA,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
19101,Golden Rule Insurance Company,,MA,YES,NO,NO,NO,376028756,YES,6/14/10,,157,7440 Woodland Drive,,Indianapolis,IN,46278,
92113,Golden Rule Insurance Company,UnitedHealthOne,MD,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
73062,Golden Rule Insurance Company,,ME,YES,NO,NO,NO,376028756,NO,6/14/10,,157,7440 Woodland Drive,,Indianapolis,IN,46278,
74304,Golden Rule Insurance Company,UnitedHealthOne,MI,YES,NO,NO,NO,376028756,YES,7/2/10,8/29/13,157,7440 Woodland Drive,,Indianapolis,IN,46278,
